Player1,Player1 Bingo Count,Player2,Player2 Bingo Count,Game URL,Dictionary
Jackson Smylie,1,Maddy Kamen ,4,https://www.cross-tables.com/annotated.php?u=45990,NWL18
Mitchell Brook,4,Michael Thelen ,2,https://www.cross-tables.com/annotated.php?u=52707,NWL23
Michael Thelen,2,Rick Julian ,4,https://www.cross-tables.com/annotated.php?u=52706,NWL23
Ryan Wee,3,Michael Tang,4,https://www.cross-tables.com/annotated.php?u=49465,CSW21
Erickson Smith,4,Joshua Castellano ,2,https://www.cross-tables.com/annotated.php?u=49406,CSW21
Jimoh Abdulmumin,4,John Aiyedun,1,https://www.cross-tables.com/annotated.php?u=48891,CSW21
Ryan Wee,4,Jeremy Khoo,1,https://www.cross-tables.com/annotated.php?u=49422,CSW21
Jonathan Lindh,4,Eric Goldstein ,1,https://www.cross-tables.com/annotated.php?u=49416,NWL23
Joshua Castellano,4,Adam Logan ,1,https://www.cross-tables.com/annotated.php?u=49408,CSW21
Jackson Smylie,1,"JOURNOS was interesting, JOURNO feels better at firt to dig into the scoring tiles and not risk AAINORU type stuff, but AE also can end up with really ugly Q racks more often, and the R of AORU helps soften the heavy consonants, plus the U for Q insurance. JEON importantly also blocks easy and heavy hitting ING 6s and 7s on the O column, while setting up my next-to-case O. I still think JAUK is just too solid to pass up on, though I do like jeon over journo. bad miss, all that deliberation could have been spent finding jauk'] ),Array( 18, 'ARI.', 9, 10, 1, 339, 'AIR', 1, 320, 339, [] ),Array( 19, 'FRO', 7, 14, 1, 347, 'AFGOQRU', 0, 347, 339, ['it was important to me to only play two tiles here. QAT is actually quite good here, I saw it but did not consider it seriously enough. playing 2 tiles is ideal here, and I considered stuff like OF to do that. leaving 8 in the bag will give me the most control after his next play, he is unlikely to play more than 3-4 tiles, and that means I will always be able to leave 1 or 2 whlie playing a few tiles myself. Playing 3 tiles now, leaving 7 in the bag, is okay, because he usually just plays a few tiles, but it isn&#039;t quite ideal. FRO seemed like a good balance, keeping QUAG in store guaranteed to pad the lead, but the more I think about it the more I like QAT.'] ),Array( 20, 'AA.II', 5, 1, 1, 348, 'AAII', 1, 347, 348, [] ),Array( 21, 'QUAG', 6, 11, 1, 375, 'ACGNQUW', 0, 375, 348, ['strongly considered COW here, keeps the G for ZAG, QU plays, but AALII came down fast which means he has at least 2 more of the vowels. I was worried mainly about AVOUCH here, I felt I could outrun most sequences otherwise, even if I draw badly after QUAG. If he kept AEN or ACO or whatever he is probably less likely than average to have AVOUCH. It is certainly possible that COW or just FROW are better than this for avoiding monstrous consonant draws - a lot of the endgame are hard but I am not in the clear after QUAG'] ),Array( 22, 'CUE', 5, 13, 1, 364, 'ACEENOU', 1, 375, 364, ['he does have a few wins here, ANCONE, and switching the order of plays, starting with AEON is better cause CUE is very hard to block. ANE keeping OUNCE also wins'] ),Array( 23, 'N.H', 6, 0, 1, 388, 'CHHNVW', 0, 388, 364, ['NAH and HAH win'] ),Array( 24, 'EON', 0, 7, 1, 379, 'AENO', 1, 388, 379, [] ),Array( 25, 'H.W', 10, 12, 0, 407, 'CHVW', 0, 407, 379, [] ),Array( 26, '.A.', 12, 14, 1, 386, 'A', 1, 407, 386, [] ),Array( 27, '---', 0, 0, 0, 400, '', 0, 407, 400, [] ));function showitems(tag, vis, move){gLastMove = '';var els = document.getElementsByTagName(tag);for (var img=0; img",4,https://www.cross-tables.com/annotated.php?u=48870,NWL23
Christopher Sykes,4,Jackson Smylie ,3,https://www.cross-tables.com/annotated.php?u=48867,NWL23
Gregg Bigourdin,1,Jackson Smylie ,4,https://www.cross-tables.com/annotated.php?u=48861,NWL23
Daniel Stock,4,Jackson Smylie ,0,https://www.cross-tables.com/annotated.php?u=48856,NWL23
Ryan Wee,1,Leon Tan,4,https://www.cross-tables.com/annotated.php?u=49536,CSW21
Joshua Castellano,4,Charles Reinke ,3,https://www.cross-tables.com/annotated.php?u=49561,CSW21
Joel Wapnick,3,Joshua Castellano ,4,https://www.cross-tables.com/annotated.php?u=49559,CSW21
Enoch Nwai,4,DOkosimi Oluwatimilehin,2,https://www.cross-tables.com/annotated.php?u=49508,CSW21
